"","Month","Change"
"1","Jan",-8.41
"2","Feb",-3.45
"3","Mar",23.38
"4","Apr",1.06
"5","May",1.94
"6","Jun",25.73
"7","Jul",6.91
"8","Aug",-18.98
"9","Sep",-10.3
"10","Oct",-6.68
"11","Nov",18.36
"12","Dec",5.4
